listing,price,serial,condition,weight,stock
Nash JM-63 Shell Pink Light Relic,"$3,242.00",Serial #CHI741,NEW,Weight: 8lbs 7oz,In Stock!
Gibson ES-355 TDC Cherry 1968,"$12,995.00",Serial #510325,VINTAGE,Weight: 8lbs 12oz,In Stock!
Gibson Custom Shop 1961 ES-335 Reissue '60s Cherry VOS,"$5,999.00",Serial #140845,NEW,Weight: 7lbs 14oz,In Stock!
"Gibson Custom Shop 1960 Les Paul Standard ""CME Spec"" Factory Burst VOS w/Scarface Neck","$6,799.00",Serial #04691,USED,Weight: 9lbs,In Stock!
Fender American Ultra II Telecaster Solar Flare,"$2,299.99",Serial #US24008755,NEW,Weight: 8lbs,In Stock!
Fender Custom Shop '60s Gold Leaf Competition Stratocaster NOS Candy Apple Red Apprentice Built by Dan Gonzalez,"$7,325.00",Serial #CZ582170,NEW,Weight: 7lbs 14oz,In Stock!
Fender Custom Shop Custom Roasted '50s Telecaster Journeyman Relic Black Burst Master Built by Kyle McMillin,"$8,325.00",Serial #KM1206,NEW,Weight: 7lbs 2oz,In Stock!
Fender 2-Knob Stratocaster Sienna Sunburst 1983,"$1,395.00",Serial #E327238,USED,Weight: 7lbs 15oz,In Stock!
Gibson Custom Shop 1963 Les Paul SG Custom Reissue w/Maestro Classic White VOS,"$6,699.00",Serial #407903,NEW,Weight: 8lbs 1oz,In Stock!
"Gibson Custom Shop 1958 Les Paul Standard ""CME Spec"" Factory Burst Light Aged w/59 Carmelita Neck","$6,899.00",Serial #841461,NEW,Weight: 9lbs 7oz,In Stock!
"Gibson Custom Shop Murphy Lab 1959 Les Paul Standard ""CME Spec"" Chambered Dirty Lemon Fade Ultra Light Aged w/Lightweight Back","$8,199.00",Serial #944062,NEW,Weight: 7lbs 3oz,In Stock!
"Gibson Custom Shop 1960 Les Paul Standard ""CME Spec"" Kindred Burst VOS w/60 V2 Neck","$6,999.00",Serial #04832,NEW,Weight: 9lbs 1oz,In Stock!
Gibson Original Les Paul Standard '50s Dirty Lemon Burst,"$2,799.00",Serial #215040018,NEW,Weight: 9lbs 5oz,In Stock!
Gibson Original Les Paul Standard '50s Dirty Lemon Burst,"$2,799.00",Serial #225540106,NEW,Weight: 9lbs 6oz,In Stock!
Gibson Les Paul Custom Cherry Sunburst 1982,"$4,495.00",Serial #82162554,USED,Weight: 11lbs 1oz,In Stock!
Ibanez AZ42P1PBE Premium 6-String Electric Guitar Prussian Blue Metallic,"$1,170.00",Serial #211P01240113469,DEMO,Weight: 6lbs 15oz,In Stock!
Suhr Custom Classic T Mountain Grey w/Roasted Maple Neck,"$4,099.00",Serial #80770,NEW,Weight: 7lbs 12oz,In Stock!
Collings 290 DC S Natural w/Lollar PIckups,"$5,080.00",Serial #290DC24573,NEW,Weight: 7lbs 2oz,In Stock!
Mayones Aquila Elite S 7 Curly Poplar 5A/Swamp Ash Lava Burst,"$4,595.00",Serial #AQ2412546,NEW,Weight: 7lbs 8oz,In Stock!
Mayones Duvell Elite VF 7 3A Eye Poplar/Mahogany Custom Color,"$4,500.00",Serial #DF2408820,NEW,Weight: 7lbs 10oz,In Stock!
Mayones Duvell Elite 4Ever 7-String 4A Curly Poplar/Mahogany Jeans Black Blue Horizon,"$4,860.00",Serial #DF2409838,NEW,Weight: 8lbs 15oz,In Stock!
Mayones Jassper NIdra 6 Jakub Żytecki Signature Monolith Retro White,"$3,715.00",Serial #JS2405027,NEW,Weight: 7lbs 7oz,In Stock!
Fender J5 John 5 Signature Acoustic Black,$495.00,Serial #04058243,USED,,In Stock!
Sire Larry Carlton T3 Surf Green Metallic (New Gen),$459.00,,NEW,,Pre-Order
Sire Larry Carlton T7 Dark Navy (New Gen),$729.00,,NEW,,Pre-Order
Sire Larry Carlton T7 Sky Burst Sparkle (New Gen),$729.00,,NEW,,Pre-Order
Sire Larry Carlton T3 Tide Pool (New Gen),$459.00,,NEW,,Pre-Order
Sire Larry Carlton T7 3-Tone Sunburst (New Gen),$729.00,,NEW,,Pre-Order
Sire Larry Carlton S3 HSS Antique White (New Gen),$459.00,,NEW,,Pre-Order
Sire Larry Carlton S3 HSS Dark Navy (New Gen),$459.00,,NEW,,Pre-Order
Sire Larry Carlton S3 Antique White (New Gen),$459.00,,NEW,,Pre-Order
Sire Larry Carlton S3 Candy Apple Red (New Gen),$459.00,,NEW,,Pre-Order
Sire Larry Carlton X6 Headless 7 Metallic Green,$799.00,,NEW,,Pre-Order
Sire Larry Carlton X6 Headless 7 Black Satin,$799.00,,NEW,,Pre-Order
Sire Larry Carlton X6 Headless 6 Metallic Green,$699.00,,NEW,,Pre-Order
Sire Larry Carlton X6 Headless 6 Silver Sparkle,$699.00,,NEW,,Pre-Order
Sire Larry Carlton X6 Headless 6 Black Satin,$699.00,,NEW,,Pre-Order
Sire Larry Carlton X6 Headless 6 Transparent Black,$699.00,,NEW,,Pre-Order
Sire Larry Carlton Y5 Red Sparkle,$599.00,,NEW,,Pre-Order
Sire Larry Carlton S3 Metallic Gold (New Gen),$459.00,,NEW,,Pre-Order
Sire Larry Carlton S7 HSS Metallic Gold (New Gen),$729.00,,NEW,,Pre-Order
Sire Larry Carlton S7 HSS Sky Burst Sparkle (New Gen),$729.00,,NEW,,Pre-Order
Sire Larry Carlton S7 White (New Gen),$729.00,,NEW,,Pre-Order
Sire Larry Carlton S7 Tide Pool (New Gen),$729.00,,NEW,,Pre-Order
Sire Larry Carlton S3 Black (New Gen),$459.00,,NEW,,Pre-Order
Sire Larry Carlton Y5 Black Satin,$599.00,,NEW,,Pre-Order
Sire Larry Carlton Y10 Purple Sparkle,"$1,259.00",,NEW,,Pre-Order
Sire Larry Carlton Y10 Black Satin,"$1,259.00",,NEW,,Pre-Order
Powers Electric A-Type Select Hard Tail Desert Dawn w/PF42 Pickups,"$4,299.00",Serial #A574,NEW,Weight: 5lbs 15oz,In Stock!
Sire Larry Carlton Y10 Metallic Green,"$1,259.00",,NEW,,Pre-Order
Sire Larry Carlton Q3 Blue,$459.00,,NEW,,Pre-Order
Sire Larry Carlton Q3 Tobacco Sunburst,$459.00,,NEW,,Pre-Order
Sire Larry Carlton Q3 Black,$459.00,,NEW,,Pre-Order
Sire Larry Carlton Q7 Red Sparkle w/Gold Hardware,$759.00,,NEW,,Pre-Order
Sire Larry Carlton Q7 Tobacco Sunburst w/Gold Hardware,$759.00,,NEW,,Pre-Order
Sire Larry Carlton Q7 Black w/Gold Hardware,$759.00,,NEW,,Pre-Order
Sire Larry Carlton Q7 Metallic Green,$699.00,,NEW,,Pre-Order
Sire Larry Carlton Q7 Metallic Gold,$699.00,,NEW,,Pre-Order
Fender Artist Brad Paisley Road Worn Telecaster Black Sparkle,"$1,629.99",,NEW,,In Stock!
Nash T-72-TL Thinline Ash Antigua Light Relic,"$3,038.00",Serial #CHI678,NEW,Weight: 6lbs 10oz,In Stock!
Gibson Original ES-335 Figured Blood Moon Burst,"$3,999.00",Serial #230340108,NEW,Weight: 7lbs 15oz,In Stock!
Gibson Original ES-335 Watermelon,"$3,499.00",Serial #231740006,NEW,Weight: 7lbs 14oz,In Stock!
Gibson Original ES-335 Spearmint,"$3,499.00",Serial #232340070,NEW,Weight: 8lbs,In Stock!
Epiphone Les Paul Custom Alpine White,$799.00,,NEW,,In Stock!
Music Man StingRay II Deluxe Cory Wong Signature Electric Guitar Pine Green,"$3,299.00",,NEW,,In Stock!
Music Man StingRay II Cory Wong Signature Electric Guitar Charcoal Blue,"$2,999.00",,NEW,,In Stock!
Gibson Original ES-335 Figured Deep Ocean Burst,"$3,999.00",,NEW,,Pre-Order
Epiphone Les Paul Custom LEFTY Ebony,$799.00,,NEW,,In Stock!
Epiphone SG Standard LEFTY Cherry,$599.00,,NEW,,In Stock!
PRS Limited Edition CE 24 Satin Nitro Seafoam Green 2023,"$1,895.00",Serial #0364612,USED,Weight: 7lbs 3oz,In Stock!
National Westwood 75 Cherry 1960s,"$1,895.00",Serial #G39982,VINTAGE,Weight: 7lbs 1oz,In Stock!
Fano Alt de Facto RB12T Bull Black Light Distress,"$4,729.00",,NEW,,Pre-Order
Fano Alt de Facto RB12T Ember X-Light Distress,"$4,729.00",,NEW,,Pre-Order
Jackson Custom Shop Soloist 2H FR Sage Green Metallic,"$6,199.99",Serial #J11050,NEW,Weight: 7lbs 15oz,In Stock!
Epiphone SG Standard TV Yellow,$599.00,,NEW,,In Stock!
Epiphone SG Standard Cherry,$599.00,,NEW,,In Stock!
Epiphone Les Paul Standard '60s Figured LEFTY Iced Tea Burst,$699.00,,NEW,,In Stock!
Epiphone Les Paul Standard '60s Silver Mist,$699.00,,NEW,,In Stock!
Epiphone Les Paul Standard '60s Figured Iced Tea Burst,$699.00,,NEW,,In Stock!
Epiphone Les Paul Standard '60s Figured Fucshia,$699.00,,NEW,,In Stock!
Epiphone Les Paul Standard '60s Ebony,$699.00,,NEW,,In Stock!
Epiphone SG Standard Silver Mist,$599.00,,NEW,,In Stock!
Epiphone SG Standard Pelham Blue,$599.00,,NEW,,In Stock!
Sterling by Music Man StingRay Plus Seafoam Green,$599.99,,NEW,,In Stock!
Eastman Limited Edition SB58/TV Sunburst Truetone Vintage Gloss,"$2,749.00",,NEW,,Pre-Order
Epiphone Les Paul Standard '50s Figured Seafoam Green,$699.00,,NEW,,In Stock!
Epiphone Les Paul Standard '50s Figured Washed Cherry Sunburst,$699.00,,NEW,,In Stock!
Epiphone Les Paul Standard '50s Goldtop,$699.00,,NEW,,In Stock!
Epiphone Les Paul Standard '50s Cardinal Red,$699.00,,NEW,,In Stock!
Fender Custom Shop Postmodern Telecaster Journeyman Relic Aged Butterscotch Blonde,"$5,000.00",Serial #XN17583,NEW,Weight: 6lbs 10oz,In Stock!
Fender Custom Shop 1967 Stratocaster Relic with Closet Classic Hardware Aged Blue Ice Metallic,"$5,100.00",Serial #CZ552251,NEW,Weight: 8lbs,In Stock!
Gibson Custom Shop 1956 Les Paul Goldtop Reissue Double Gold All Over Ultralight Back Murphy Lab Heavy Aged,"$9,599.00",Serial #64501,USED,Weight: 8lbs 8oz,In Stock!
Reverend Six Gun HPP Chronic Blue Burst,"$1,199.00",,NEW,,In Stock!
Reverend Sensei H90 Chronic Blue Burst,"$1,099.00",,NEW,,In Stock!
Reverend Ryan Malicsi Signature White Gold Sparkle,"$1,199.00",,NEW,,In Stock!
Reverend Pete Anderson Eastsider E Vintage Yellow,"$1,099.00",,NEW,,In Stock!
Reverend Pete Anderson Eastsider E Midnight Black,"$1,099.00",,NEW,,In Stock!
Reverend Descent RA Periwinkle Burst,"$1,199.00",,NEW,,In Stock!
Reverend Double Agent W Periwinkle Burst,"$1,099.00",,NEW,,In Stock!
Reverend Double Agent OG Chronic Blue Burst,$999.00,,NEW,,In Stock!
Reverend Charger HB Periwinkle Burst,$999.00,,NEW,,In Stock!
Reverend Charger 290 w/Bigsby Chronic Blue,"$1,199.00",,NEW,,In Stock!
Reverend Charger 290 w/Bigsby Army Green,"$1,199.00",,NEW,,In Stock!
Jackson Limited Edition Pro Plus Pure Metal Kelly KE1A Gloss Black,"$1,469.99",,NEW,,In Stock!
Jackson Limited Edition Pro Plus Pure Metal Rhoads RR1A Gloss Black,"$1,579.99",,NEW,,In Stock!
Jackson JS Series Surfcaster JS22 HT Snow White,$299.99,,NEW,,In Stock!
Jackson JS Series Surfcaster JS22 HT Gloss Black,$299.99,,NEW,,In Stock!
Reverend Bob Balch Signature FR Silver Burst,"$1,399.00",,NEW,,In Stock!
Gretsch Limited Edition G2655TG Streamliner Center Block Jr. Double-Cut with Bigsby Riviera Blue,$739.99,,NEW,,In Stock!
Reverend Bob Balch Signature FR High Tide Blue,"$1,399.00",,NEW,,In Stock!
Gretsch Limited Edition G2420TG Streamliner Hollow Body with Bigsby Cadillac Green,$739.99,,NEW,,In Stock!
Gretsch Limited Edition G2622TG Streamliner Center Block Double-Cut with Bigsby Midnight Sapphire,$739.99,,NEW,,In Stock!
Gretsch Broadkaster LX Center Block with String-Thru Bigsby and Gold Hardware Cadillac Green,"$2,839.99",,NEW,,In Stock!
Fender Standard Telecaster 3-Color Sunburst,$629.99,,NEW,,In Stock!
Fender Standard Telecaster Butterscotch Blonde,$629.99,,NEW,,In Stock!
Fender Standard Telecaster Aqua Marine Metallic,$629.99,,NEW,,In Stock!
Fender Standard Stratocaster HSS Black,$629.99,,NEW,,In Stock!
Fender Standard Stratocaster HSS Candy Cola,$629.99,,NEW,,In Stock!
Fender Standard Stratocaster HSS Aqua Marine Metallic,$629.99,,NEW,,In Stock!
Fender Standard Stratocaster Aqua Marine Metallic,$629.99,,NEW,,In Stock!
Fender Standard Stratocaster 3-Color Sunburst,$629.99,,NEW,,In Stock!
Fender Standard Stratocaster Candy Cola,$629.99,,NEW,,In Stock!
Fender Standard Stratocaster Olympic White,$629.99,,NEW,,In Stock!
Fender Limited Edition Player II Telecaster Sparkle 3-Color Sunburst,$944.99,,NEW,,In Stock!
Fender American Vintage II 1965 Stratocaster Candy Apple Red,"$2,419.99",,NEW,,In Stock!
Fender Limited Edition Player II Stratocaster Sparkle 3-Color Sunburst,$944.99,,NEW,,In Stock!
Fender American Vintage II 1965 Stratocaster Shoreline Gold,"$2,419.99",,NEW,,In Stock!
Fender American Vintage II 1957 Stratocaster Black,"$2,419.99",,NEW,,In Stock!
Fender Standard Telecaster Olympic White,$629.99,,NEW,,In Stock!
Fender American Vintage II 1965 Stratocaster Sonic Blue,"$2,419.99",,NEW,,In Stock!
Gretsch Limited Edition Electromatic Flame Okoume Broadkaster Jr. Single -Cut with Bigsby Roundup Orange,"$1,579.99",,NEW,,In Stock!
EVH SA-126 Standard Pelham Green,"$1,049.99",,NEW,,In Stock!
Gretsch Limited Edition Electromatic Flame Okoume Broadkaster Double-Cut with Bigsby Roundup Orange,"$1,579.99",,NEW,,In Stock!
EVH SA-126 Standard Piano Black,"$1,049.99",,NEW,,In Stock!
EVH Wolfgang Standard T.O.M. Gloss Black,$629.99,,NEW,,In Stock!
Charvel Pro-Mod Plus So-Cal Style 1 HH EVTN6 E Midnight Blue,"$1,799.99",,NEW,,In Stock!
EVH Wolfgang Special T.O.M. Oxblood,"$1,369.99",,NEW,,In Stock!
EVH SA-126 Standard Satin Vintage White,$949.99,,NEW,,In Stock!
EVH SA-126 Standard Wine Red,"$1,159.99",,NEW,,In Stock!
EVH Wolfgang WG Standard Battleship Gray,$470.00,Serial #ICE2300220,USED,Weight: 7lbs 10oz,In Stock!
Eastman FullerTone DC'62 Moss Black Truetone Satin,$939.00,,NEW,,In Stock!
Eastman FullerTone SC'52 Desert Sand Truetone Satin,$899.00,,NEW,,In Stock!
Eastman D'Ambrosio SC 54 Swamp Ash 2-Tone Sunburst w/Lollar Royal T the & Special T,"$3,799.00",Serial #24080,NEW,Weight: 6lbs 15oz,In Stock!
Suhr Classic T Vintage LE Firemist Silver w/Roasted Maple Neck,"$3,549.00",Serial #85099,NEW,Weight: 7lbs 5oz,In Stock!
PRS Swamp Ash Special Maple Vintage Natural,"$2,899.00",Serial #0406402,NEW,,In Stock!
Sterling By Music Man John Petrucci JP60 Mystic Dream,$679.99,,NEW,,In Stock!
Fender Custom Shop LTD 70th Anniversary 1954 Stratocaster Time Capsule Wide Fade 2-Color Sunburst,"$4,500.00",Serial #XN5264,NEW,Weight: 7lbs 5oz,In Stock!
Fender Custom Shop Limited Edition Twisted Rosewood Telecaster NOS Natural,"$5,425.00",Serial #CZ577013,NEW,Weight: 8lbs 8oz,In Stock!
Fender Custom Shop LTD 70th Anniversary 1954 Stratocaster Deluxe Closet Classic Wide Fade 2-Color Sunburst,"$4,750.00",Serial #XN4948,NEW,Weight: 7lbs 10oz,In Stock!
"Gibson Custom Shop 1958 Les Paul Standard ""CME Spec"" Kindred Burst Light Aged w/60 V2 Neck","$6,209.00",Serial #841469,USED,Weight: 9lbs 1oz,In Stock!
PRS McCarty 594 Singlecut 10 Top Yellow Tiger,"$5,600.00",Serial #0399095,NEW,Weight: 8lbs 9oz,In Stock!
Fender Custom Shop 1959 Telecaster Journeyman Relic Faded Aged Chocolate 3-Color Sunburst,"$4,550.00",Serial #CZ552134,NEW,Weight: 6lbs 13oz,In Stock!
PRS Swamp Ash Special Maple Black Doghair Smokeburst,"$2,899.00",Serial #0402554,NEW,Weight: 8lbs 10oz,In Stock!
Ibanez AZ24S1FVLS AZ Standard Electric Guitar Violin Sunburst,$599.99,,NEW,,In Stock!
Ibanez AZ24S1FTXB AZ Standard Electric Guitar Transparent Turquoise Burst,$599.99,,NEW,,In Stock!
Ibanez AZ22S1FTXB AZ Standard Electric Guitar Transparent Turquoise Burst,$599.99,,NEW,,In Stock!
Ibanez S6570BWENT S Prestige Electric Guitar Natural,"$2,299.99",,NEW,,In Stock!
PRS CE 24 Faded Blue Smokeburst,"$2,699.00",Serial #0397266,NEW,Weight: 7lbs 9oz,In Stock!
Gretsch Chet Atkins Tennessean Walnut 1965,"$1,795.00",Serial #82130,VINTAGE,Weight: 6lbs 14oz,In Stock!
Ibanez AS93FMTMG AS Artcore Expressionist Electric Guitar Transparent Moss Green,$769.99,,NEW,,In Stock!
Ibanez AS93SPBK AS Artcore Expressionist Electric Guitar Black,$899.99,,NEW,,In Stock!
Ibanez AS93QMSPDBS AS Artcore Expressionist Electric Guitar Dark Brown Sunburst,$999.99,,NEW,,In Stock!
Ibanez AZ22S1FTKS AZ Standard Electric Guitar Transparent Black Sunburst,$599.99,,NEW,,In Stock!
Ibanez AZ2204NWVR AZ Prestige Electric Guitar Vermillion Red,"$2,199.99",,NEW,,In Stock!
Ibanez AZ2204NVGF AZ Prestige Electric Guitar Ivy Green Metallic Flat,"$2,199.99",,NEW,,In Stock!
Ibanez AZ2203NTDBF AZ Prestige Electric Guitar Dark Tide Blue Flat,"$2,249.99",,NEW,,In Stock!
Ibanez AZ2204PW AZ Prestige Electric Guitar Pearl White,"$2,199.99",,NEW,,In Stock!
Ibanez AZ2402AGM AZ Prestige Electric Guitar Apple Green Metallic,"$2,199.99",,NEW,,In Stock!
Ibanez AS73TTF AS Artcore Electric Guitar Transparent Tangerine Flat,$499.99,,NEW,,In Stock!
Dunable DE Asteroid Korina Aged Clear w/Bare Knuckle The Mule Humbuckers,"$1,499.00",,NEW,,In Stock!
Squier Classic Vibe '50s Telecaster White Blonde w/Gold Hardware,$505.99,,NEW,,In Stock!
Suhr Classic T Vintage LE Seafoam Green w/Roasted Maple Neck,"$3,549.00",Serial #85101,NEW,Weight: 7lbs,In Stock!
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Lemon Burst Murphy Lab Ultra Heavy Aged w/Ultralight Back","$12,099.00",Serial #943670,NEW,Weight: 8lbs 3oz,In Stock!
Heritage Custom Shop Core H-575 Hollow Body Antique Natural,"$5,999.00",Serial #HC1241543,NEW,Weight: 7lbs 1oz,In Stock!
Dunable DE Asteroid Matte Black w/Floyd Rose LEFTY,"$1,499.00",,NEW,,In Stock!
"Gibson Custom Shop Murphy Lab 1961 LP/SG Standard ""CME Spec"" Heavy Antique Ebony Heavy Aged w/Maestro Vibrola","$7,599.00",Serial #402581,USED,Weight: 7lbs 8oz,In Stock!
"Gibson Custom Shop Murphy Lab 1967 Flying V ""CME Spec"" Heavy Antique GT Filler Heavy Aged w/Maestro Vibrola","$8,099.00",Serial #400347,NEW,Weight: 6lbs 4oz,In Stock!
Fender Custom Shop 1963 Jaguar Deluxe Closet Classic Aged Inca Silver,"$5,750.00",Serial #CZ582962,NEW,Weight: 8lbs 9oz,In Stock!
"Fender Custom Shop 1962 Jazzmaster ""Chicago Special"" NOS Aged Surf Burst Sparkle w/Roasted Neck & Gold Hardware","$4,880.00",Serial #R127832,NEW,Weight: 8lbs 13oz,In Stock!
Kramer Original Jersey Star White Pearl,"$1,299.00",,NEW,,In Stock!
Suhr Classic T Vintage LE Lake Placid Blue w/Roasted Maple Neck,"$3,549.00",Serial #85100,NEW,Weight: 7lbs 2oz,In Stock!
Suhr Custom Classic S Swamp Ash HSS Trans Seafoam Green w/Roasted Maple Neck,"$4,199.00",Serial #80741,USED,Weight: 7lbs 12oz,In Stock!
"Fender Custom Shop 1962 Jazzmaster ""Chicago Special"" NOS Aged Surf Burst Sparkle w/Roasted Neck & Gold Hardware","$4,880.00",Serial #R130935,NEW,Weight: 8lbs 14oz,In Stock!
Heritage Standard H-575 Hollow Body Antique Natural,"$4,499.00",Serial #1241342,NEW,Weight: 6lbs 12oz,In Stock!
Squier Classic Vibe '70s Jaguar Gold Sparkle,$524.99,,NEW,,In Stock!
Suhr Custom Classic T Cactus Green Metallic w/Roasted Maple Neck,"$4,299.00",Serial #80768,USED,Weight: 7lbs 11oz,In Stock!
Suhr Custom Classic S Swamp Ash HSS Trans Daphne Blue w/Roasted Maple Neck,"$4,199.00",Serial #80739,USED,Weight: 8lbs,In Stock!
Fano Alt de Facto JM6 Cadillac Green Light Distress w/McNelly Pickups & Stainless Steel Frets,"$4,710.00",Serial #241116,NEW,Weight: 6lbs 10oz,In Stock!
"Gibson Custom Shop 1961 ES-335 Reissue ""CME Spec"" Antique Heather Poly VOS","$5,899.00",Serial #140538,NEW,Weight: 7lbs 12oz,In Stock!
PRS Wood Library McCarty 594 Singlecut 10-Top Quilt Trampas Green w/Korina Body/Neck & Brazilian Rosewood Fingerboard,"$5,760.00",Serial #0397735,NEW,Weight: 10lbs 13oz,In Stock!
"Gibson Custom Shop Murphy Lab 1961 Les Paul SG Standard ""CME Spec"" Ultra Light Aged Heavy Antique Pelham Blue w/Stop Bar & Grovers","$5,399.00",Serial #402591,NEW,Weight: 7lbs 2oz,In Stock!
"Gibson Custom Shop 1959 ES-345 ""CME Spec"" Burgundy Sparkle Gloss","$7,699.00",Serial #A940564,NEW,Weight: 8lbs 6oz,In Stock!
Rickenbacker 330 Fireglo 1968,"$4,995.00",Serial #HC6280,VINTAGE,Weight: 7lbs 1oz,In Stock!
Mayones Regius 7 Trans Aqua Marine 2019,"$3,695.00",Serial #RF2006064,USED,Weight: 7lbs 13oz,In Stock!
Gibson Custom Shop 1965 Non-Reverse Firebird V Silvermist Poly VOS w/Maestro,"$6,199.00",Serial #401065,NEW,Weight: 8lbs 10oz,In Stock!
Fender Custom Shop LTD 70th Anniversary 1954 Stratocaster Super Heavy Relic Copper,"$5,825.00",Serial #XN4711,NEW,Weight: 7lbs 9oz,In Stock!
Suhr Classic T Vintage LE Fiesta Red w/Roasted Maple Neck,"$3,549.00",Serial #85097,NEW,Weight: 6lbs 15oz,In Stock!
PRS Paul's Guitar 10 Top Black Gold Wraparound Burst,"$5,840.00",Serial #0395817,NEW,Weight: 7lbs 10oz,In Stock!
Music Man Valentine Trans Buttermilk,"$2,999.00",Serial #H08173,NEW,Weight: 7lbs 11oz,In Stock!
Paoletti Nancy Lounge Aged Chestnut Heavy Surf Green,"$4,599.00",Serial #248124,NEW,Weight: 8lbs 1oz,In Stock!
Gretsch Streamliner Jet Club Single-Cut with Wraparound Dark Denim,$419.99,,NEW,,In Stock!
Fender Custom Shop '59 250K Jazzmaster Journeyman Relic Aged Dakota Red,"$5,900.00",Serial #CZ582662,NEW,Weight: 8lbs 3oz,In Stock!
Fender American Ultra II Stratocaster Sinister Red,"$2,299.99",Serial #US240033008,NEW,Weight: 8lbs 3oz,In Stock!
Gibson Custom Shop Artist Jimmy Page EDS-1275 Doubleneck 69 Cherry VOS,"$9,999.00",Serial #CS403451,NEW,Weight: 11lbs 2oz,In Stock!
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Orange Lemon Fade VOS w/59 Carmelita Neck","$6,999.00",Serial #943842,USED,Weight: 8lbs 9oz,In Stock!
Jackson JS Series Rhoads JS32 Lefty Satin Gray,$449.99,,NEW,,In Stock!
Heritage Custom Shop Core H-535 Semi-Hollow Body Original Sunburst w/Bigsby,"$4,799.00",Serial #HC1241408,NEW,Weight: 8lbs 13oz,In Stock!
"Gibson Custom Shop 1959 ES-335 Reissue ""CME Spec"" Antique Kerry Green Murphy Lab Ultra Light Aged w/Bigsby","$8,299.00",Serial #A940487,NEW,Weight: 8lbs 14oz,In Stock!
Gibson Custom Shop Murphy Lab 1959 Les Paul Standard Reissue Sunrise Teaburst Ultra Light Aged,"$7,199.00",Serial #943886,NEW,Weight: 8lbs 15oz,In Stock!
Schecter Synyster Gates Custom-7 TR Headless Electric Guitar Oak Green Metallic,"$2,299.00",,NEW,,In Stock!
Jackson JS Series Dinky Minion JS1X Infinity Blue,$219.99,,NEW,,In Stock!
Jackson X Series Scott Ian KVXTT Candy Apple Red,$839.99,,NEW,,In Stock!
Jackson X Series Rhoads RRX24 Black w/Yellow Bevels,$949.99,,NEW,,In Stock!
Eastman Limited Edition T64 Truetone Vintage Black w/Bigsby,"$2,249.00",,NEW,,In Stock!
Eastman Limited Edition T59 Truetone Vintage Black w/Bigsby,"$2,799.00",,NEW,,In Stock!
Fender Artist Limited Edition Chris Shiflett Cleaver Telecaster Deluxe Dakota Red,"$2,629.99",,NEW,,In Stock!
Fender Artist Limited Edition Chris Shiflett Cleaver Telecaster Deluxe Charcoal Frost Metallic,"$2,629.99",,NEW,,In Stock!
Mayones Regius 7 Baritone Flamed Maple/Swamp Ash Antique Black,"$6,990.00",Serial #RF2408956,NEW,Weight: 8lbs 15oz,In Stock!
Yamaha Pacifica 612VIIX Electric Guitar Mist Green,$779.99,,NEW,,In Stock!
Yamaha Pacifica 612VIIX Electric Guitar Vintage White,$779.99,,NEW,,In Stock!
Eastman T60/TV Truetone Vintage Sunburst w/Lollar Dogear P90 Pickups,"$1,999.00",,NEW,,In Stock!
Suhr Classic S HSS Porsche Red,"$3,699.00",Serial #85092,NEW,Weight: 8lbs,In Stock!
Suhr Classic S HSS Root Beer Metallic,"$3,699.00",Serial #85091,NEW,Weight: 7lbs 15oz,In Stock!
Suhr Classic S HSS Pewter Metallic,"$3,699.00",Serial #85090,NEW,Weight: 8lbs 1oz,In Stock!
Collings I-35 LC Aged Lemon Burst w/Bigsby,"$7,575.00",Serial #I35LC242339,NEW,Weight: 7lbs 8oz,In Stock!
Gibson Artist Mary Ford Les Paul Standard Gold Top w/Cherry Back,"$2,999.00",Serial #221340385,NEW,Weight: 9lbs 9oz,In Stock!
Epiphone SG Tribute Ebony,$279.00,,NEW,,In Stock!
Epiphone Les Paul Tribute Vintage Sunburst,$299.00,,NEW,,In Stock!
Suhr Classic S HSS Ice Blue Metallic,"$3,699.00",Serial #85088,USED,Weight: 7lbs 11oz,In Stock!
PRS 40th Anniversary Limited Edition Custom 24 Tiger Eye,"$6,850.00",Serial #0397658,NEW,Weight: 8lbs 5oz,In Stock!
Epiphone EA7P Professional Guitar and Amp Outfit Cherry 1962,"$4,995.00",Serial #94949,VINTAGE,Weight: 8lbs 8oz,In Stock!
Fender Custom Shop '68 Stratocaster Deluxe Closet Classic Aged Teal Green Metallic,"$4,750.00",Serial #CZ581974,NEW,Weight: 8lbs 1oz,In Stock!
Chapman Guardian Cyber Silver Burst Metallic Satin,"$1,299.00",,NEW,,In Stock!
Collings I-35 LC Vintage Aged Tobacco Sunburst w/Bigsby,"$8,100.00",Serial #I35LC242343,NEW,Weight: 7lbs 5oz,In Stock!
Gibson Artist Mary Ford Les Paul Standard Gold Top w/Cherry Back,"$2,999.00",Serial #213640171,USED,Weight: 10lbs 5oz,In Stock!
Suhr Classic T Antique SS 2-Tone Tobacco Burst SSCII,"$3,699.00",Serial #78316,USED,Weight: 7lbs 4oz,In Stock!
PRS CE 24 Dark Cherry Sunburst,"$2,699.00",Serial #0395047,NEW,Weight: 7lbs 14oz,In Stock!
Gibson Les Paul Recording Alpine White 1976,"$5,995.00",Serial ##00111575,VINTAGE,Weight: 11lbs 15oz,In Stock!
